Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.25,0.1,2031.0,443.01641,40634466.62396,2049.0,483.01119,41656528.81992,41760654.53103,485.09949,2.02494,48232613.52957,449.57788,1.58745
1.0,0.1,0.5,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.75,0.35,2031.0,443.0162,42512661.70747,2050.0,483.01494,47687546.06088,47975953.15996,484.39719,2.01654,73006561.33912,450.73344,1.60219
1.0,0.45,0.1,2031.0,443.01491,42139249.26365,2048.0,483.00686,46438512.37064,47156482.02931,487.34387,2.0517,71147292.82697,453.5504,1.63873
1.0,0.6,1.0,2031.0,443.01627,40113598.23279,2049.0,483.01046,39893010.5961,39897392.1298,485.47756,2.02946,41118537.94274,456.17971,1.67132
1.0,0.65,0.7,2031.0,443.01547,40919077.87233,2049.0,483.01176,42513241.48368,42662925.96662,485.27996,2.02709,51208780.73002,451.53776,1.61252
1.0,0.7,0.85,2031.0,443.01519,40864293.63355,2049.0,483.0106,42296214.81964,42461552.71476,485.74925,2.0327,50880748.92648,457.9691,1.69397
1.0,0.45,0.6,2031.0,443.01731,39806253.80441,2049.0,483.01027,38909658.80352,38832841.58993,485.6548,2.03157,36643798.35232,457.09348,1.68285
1.0,0.65,0.35,2031.0,443.01748,41985605.22465,2050.0,483.01574,46060754.41465,46227387.23121,484.00103,2.0118,67277117.97671,444.1834,1.51788
1.0,0.1,0.8,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.1,0.25,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.6,0.35,2031.0,443.01768,41670072.85291,2050.0,483.01513,45102591.25846,45249560.23809,484.02768,2.01211,62868458.41159,442.90612,1.50133
1.0,1.0,0.9,2031.0,443.01732,41864956.16138,2048.0,483.00787,45353717.9279,45924731.81723,487.21328,2.05014,66511351.49266,484.68263,2.02072
1.0,0.75,0.95,2031.0,443.01579,41070943.27506,2049.0,483.00979,42950615.82558,43161237.6175,485.80628,2.03338,53412605.80413,460.89456,1.73064
1.0,0.55,0.05,2031.0,443.01427,43355004.57205,2047.0,483.002,49620714.95149,51150506.5502,489.85171,2.08146,88239040.51377,524.37623,2.47522
1.0,0.6,0.75,2031.0,443.01544,40406277.29138,2049.0,483.0122,40715172.43089,40740899.67478,485.01801,2.02397,43196854.28045,453.09514,1.63221
1.0,0.55,0.9,2031.0,443.01685,40028545.61915,2049.0,483.01126,39635083.36831,39609782.72844,485.38272,2.02832,39902954.07358,454.59583,1.65129
1.0,0.1,0.65,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.65,0.75,2031.0,443.01693,40863622.96737,2049.0,483.01095,42322662.17956,42468692.58084,485.36332,2.02809,49959807.98958,451.45559,1.61145
1.0,0.35,0.3,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.4,0.8,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.15,0.5,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.75,0.8,2031.0,443.01621,41260055.16744,2049.0,483.01152,43621595.31614,43860942.42906,485.48652,2.02956,56675811.20414,459.67302,1.71533
1.0,0.35,0.4,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
